"date","series_id","value","realtime_start","realtime_end"
2007-01-01,"LNU04073395",4.8,2025-01-20,2025-01-20
2007-02-01,"LNU04073395",4.8,2025-01-20,2025-01-20
2007-03-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2007-04-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2007-05-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2007-06-01,"LNU04073395",3.9,2025-01-20,2025-01-20
2007-07-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2007-08-01,"LNU04073395",4,2025-01-20,2025-01-20
2007-09-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2007-10-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2007-11-01,"LNU04073395",4.5,2025-01-20,2025-01-20
2007-12-01,"LNU04073395",4.7,2025-01-20,2025-01-20
2008-01-01,"LNU04073395",5.5,2025-01-20,2025-01-20
2008-02-01,"LNU04073395",5.6,2025-01-20,2025-01-20
2008-03-01,"LNU04073395",6.2,2025-01-20,2025-01-20
2008-04-01,"LNU04073395",4.8,2025-01-20,2025-01-20
2008-05-01,"LNU04073395",5.3,2025-01-20,2025-01-20
2008-06-01,"LNU04073395",5.6,2025-01-20,2025-01-20
2008-07-01,"LNU04073395",5.5,2025-01-20,2025-01-20
2008-08-01,"LNU04073395",6,2025-01-20,2025-01-20
2008-09-01,"LNU04073395",5.5,2025-01-20,2025-01-20
2008-10-01,"LNU04073395",5.9,2025-01-20,2025-01-20
2008-11-01,"LNU04073395",6.5,2025-01-20,2025-01-20
2008-12-01,"LNU04073395",7.6,2025-01-20,2025-01-20
2009-01-01,"LNU04073395",9.2,2025-01-20,2025-01-20
2009-02-01,"LNU04073395",10.3,2025-01-20,2025-01-20
2009-03-01,"LNU04073395",9.6,2025-01-20,2025-01-20
2009-04-01,"LNU04073395",8.5,2025-01-20,2025-01-20
2009-05-01,"LNU04073395",9.1,2025-01-20,2025-01-20
2009-06-01,"LNU04073395",9.7,2025-01-20,2025-01-20
2009-07-01,"LNU04073395",10,2025-01-20,2025-01-20
2009-08-01,"LNU04073395",10.1,2025-01-20,2025-01-20
2009-09-01,"LNU04073395",9.6,2025-01-20,2025-01-20
2009-10-01,"LNU04073395",9.7,2025-01-20,2025-01-20
2009-11-01,"LNU04073395",9.3,2025-01-20,2025-01-20
2009-12-01,"LNU04073395",11,2025-01-20,2025-01-20
2010-01-01,"LNU04073395",11.8,2025-01-20,2025-01-20
2010-02-01,"LNU04073395",11.5,2025-01-20,2025-01-20
2010-03-01,"LNU04073395",11,2025-01-20,2025-01-20
2010-04-01,"LNU04073395",8.8,2025-01-20,2025-01-20
2010-05-01,"LNU04073395",8.6,2025-01-20,2025-01-20
2010-06-01,"LNU04073395",8.7,2025-01-20,2025-01-20
2010-07-01,"LNU04073395",9.5,2025-01-20,2025-01-20
2010-08-01,"LNU04073395",9,2025-01-20,2025-01-20
2010-09-01,"LNU04073395",9.2,2025-01-20,2025-01-20
2010-10-01,"LNU04073395",9.2,2025-01-20,2025-01-20
2010-11-01,"LNU04073395",9.7,2025-01-20,2025-01-20
2010-12-01,"LNU04073395",10.6,2025-01-20,2025-01-20
2011-01-01,"LNU04073395",10.6,2025-01-20,2025-01-20
2011-02-01,"LNU04073395",9.8,2025-01-20,2025-01-20
2011-03-01,"LNU04073395",9.6,2025-01-20,2025-01-20
2011-04-01,"LNU04073395",9.1,2025-01-20,2025-01-20
2011-05-01,"LNU04073395",8.4,2025-01-20,2025-01-20
2011-06-01,"LNU04073395",8.4,2025-01-20,2025-01-20
2011-07-01,"LNU04073395",9.2,2025-01-20,2025-01-20
2011-08-01,"LNU04073395",8.6,2025-01-20,2025-01-20
2011-09-01,"LNU04073395",9.1,2025-01-20,2025-01-20
2011-10-01,"LNU04073395",8.9,2025-01-20,2025-01-20
2011-11-01,"LNU04073395",8.4,2025-01-20,2025-01-20
2011-12-01,"LNU04073395",8.8,2025-01-20,2025-01-20
2012-01-01,"LNU04073395",9.4,2025-01-20,2025-01-20
2012-02-01,"LNU04073395",9.5,2025-01-20,2025-01-20
2012-03-01,"LNU04073395",8.7,2025-01-20,2025-01-20
2012-04-01,"LNU04073395",7.5,2025-01-20,2025-01-20
2012-05-01,"LNU04073395",7.4,2025-01-20,2025-01-20
2012-06-01,"LNU04073395",8.1,2025-01-20,2025-01-20
2012-07-01,"LNU04073395",7.8,2025-01-20,2025-01-20
2012-08-01,"LNU04073395",7.7,2025-01-20,2025-01-20
2012-09-01,"LNU04073395",7.6,2025-01-20,2025-01-20
2012-10-01,"LNU04073395",7.4,2025-01-20,2025-01-20
2012-11-01,"LNU04073395",7.7,2025-01-20,2025-01-20
2012-12-01,"LNU04073395",8,2025-01-20,2025-01-20
2013-01-01,"LNU04073395",8.5,2025-01-20,2025-01-20
2013-02-01,"LNU04073395",8.2,2025-01-20,2025-01-20
2013-03-01,"LNU04073395",7.4,2025-01-20,2025-01-20
2013-04-01,"LNU04073395",6.8,2025-01-20,2025-01-20
2013-05-01,"LNU04073395",6.3,2025-01-20,2025-01-20
2013-06-01,"LNU04073395",6.5,2025-01-20,2025-01-20
2013-07-01,"LNU04073395",6.7,2025-01-20,2025-01-20
2013-08-01,"LNU04073395",6.7,2025-01-20,2025-01-20
2013-09-01,"LNU04073395",6.5,2025-01-20,2025-01-20
2013-10-01,"LNU04073395",6.4,2025-01-20,2025-01-20
2013-11-01,"LNU04073395",6.3,2025-01-20,2025-01-20
2013-12-01,"LNU04073395",6.5,2025-01-20,2025-01-20
2014-01-01,"LNU04073395",6.7,2025-01-20,2025-01-20
2014-02-01,"LNU04073395",6.9,2025-01-20,2025-01-20
2014-03-01,"LNU04073395",6.5,2025-01-20,2025-01-20
2014-04-01,"LNU04073395",5.6,2025-01-20,2025-01-20
2014-05-01,"LNU04073395",5.6,2025-01-20,2025-01-20
2014-06-01,"LNU04073395",5.3,2025-01-20,2025-01-20
2014-07-01,"LNU04073395",5.2,2025-01-20,2025-01-20
2014-08-01,"LNU04073395",5.4,2025-01-20,2025-01-20
2014-09-01,"LNU04073395",4.6,2025-01-20,2025-01-20
2014-10-01,"LNU04073395",5.2,2025-01-20,2025-01-20
2014-11-01,"LNU04073395",5.4,2025-01-20,2025-01-20
2014-12-01,"LNU04073395",5.3,2025-01-20,2025-01-20
2015-01-01,"LNU04073395",5.8,2025-01-20,2025-01-20
2015-02-01,"LNU04073395",5.8,2025-01-20,2025-01-20
2015-03-01,"LNU04073395",5.3,2025-01-20,2025-01-20
2015-04-01,"LNU04073395",4.9,2025-01-20,2025-01-20
2015-05-01,"LNU04073395",4.7,2025-01-20,2025-01-20
2015-06-01,"LNU04073395",4.9,2025-01-20,2025-01-20
2015-07-01,"LNU04073395",5.2,2025-01-20,2025-01-20
2015-08-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2015-09-01,"LNU04073395",4.6,2025-01-20,2025-01-20
2015-10-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2015-11-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2015-12-01,"LNU04073395",4.7,2025-01-20,2025-01-20
2016-01-01,"LNU04073395",5.1,2025-01-20,2025-01-20
2016-02-01,"LNU04073395",4.6,2025-01-20,2025-01-20
2016-03-01,"LNU04073395",4.8,2025-01-20,2025-01-20
2016-04-01,"LNU04073395",4.3,2025-01-20,2025-01-20
2016-05-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2016-06-01,"LNU04073395",4,2025-01-20,2025-01-20
2016-07-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2016-08-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2016-09-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2016-10-01,"LNU04073395",4,2025-01-20,2025-01-20
2016-11-01,"LNU04073395",4.3,2025-01-20,2025-01-20
2016-12-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2017-01-01,"LNU04073395",5.2,2025-01-20,2025-01-20
2017-02-01,"LNU04073395",5,2025-01-20,2025-01-20
2017-03-01,"LNU04073395",4.5,2025-01-20,2025-01-20
2017-04-01,"LNU04073395",3.8,2025-01-20,2025-01-20
2017-05-01,"LNU04073395",3.8,2025-01-20,2025-01-20
2017-06-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2017-07-01,"LNU04073395",4,2025-01-20,2025-01-20
2017-08-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2017-09-01,"LNU04073395",3.9,2025-01-20,2025-01-20
2017-10-01,"LNU04073395",3.8,2025-01-20,2025-01-20
2017-11-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2017-12-01,"LNU04073395",3.9,2025-01-20,2025-01-20
2018-01-01,"LNU04073395",4.7,2025-01-20,2025-01-20
2018-02-01,"LNU04073395",4,2025-01-20,2025-01-20
2018-03-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2018-04-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2018-05-01,"LNU04073395",3,2025-01-20,2025-01-20
2018-06-01,"LNU04073395",3.5,2025-01-20,2025-01-20
